date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-06-21,0.46305656422873653,28.59449157714846,21.675134277343773,16452784.0,298.2848129272461,0.0
2023-06-22,0.1907012273818509,28.539483642578148,21.27472839355471,19408120.0,298.0571060180664,0.0
2023-06-23,0.01551645692643433,31.22528991699221,19.93708190917971,19559136.0,298.73118591308594,0.0
2023-06-24,0.0017225741544280027,32.940347290039085,21.767556762695335,23145894.0,300.5039520263672,0.0
2023-06-25,0.48289065864537406,35.15870056152346,25.581140136718773,19593578.0,303.5199203491211,0.0
2023-06-26,0.08881111523351137,33.68740234375002,23.671365356445335,23314146.0,301.82938385009766,0.0
2023-06-27,0.0004261732051702438,32.432717895507835,19.349633789062523,22193500.0,299.04117584228516,0.0
2023-06-28,0.0008583068797918258,34.29299316406252,20.593240356445335,21872620.0,300.5931167602539,0.0
2023-06-29,0.0012874602930423862,36.23566589355471,26.10541687011721,21616858.0,304.32054138183594,0.0
2023-06-30,0.024259736221665662,36.4921813964844,25.66034851074221,21757664.0,304.2262649536133,0.0
2023-07-01,0.2166801766243509,34.987039184570335,26.910180664062523,20031826.0,304.0986099243164,0.0
2023-07-02,0.22126734256744385,34.788491821289085,27.413110351562523,21480906.0,304.2508010864258,0.0
2023-07-03,0.2930760383037523,33.50863037109377,23.763452148437523,19992068.0,301.7860412597656,0.0
2023-07-04,4.249158501522743,32.61296997070315,24.189630126953148,17850148.0,301.5513000488281,0.0
2023-07-05,4.200831055584331,32.70752868652346,23.964532470703148,20148842.0,301.4860305786133,0.0
2023-07-06,2.062860131218258,31.947061157226585,24.004541015625023,20683162.0,301.1258010864258,0.0
2023-07-07,21.43658995618125,31.197366333007835,22.652032470703148,14069162.0,300.07469940185547,0.0
2023-07-08,2.214069567390453,30.86060485839846,24.386193847656273,15374454.0,300.77339935302734,0.0
2023-07-09,37.61923722330707,29.18799743652346,23.123742675781273,6807352.0,299.30587005615234,0.0
2023-07-10,0.4706687055886505,28.347772216796898,19.211480712890648,21969724.0,296.92962646484375,0.0
2023-07-11,0.0021434707946355047,30.096612548828148,18.805078125000023,21535832.0,297.60084533691406,0.0
2023-07-12,1.4886413074464144,30.11341247558596,23.25538024902346,15212202.0,299.8343963623047,0.0
2023-07-13,0.2838812476966268,30.939660644531273,24.58735046386721,12902590.0,300.9135055541992,0.0
2023-07-14,0.13788938521841487,31.082208251953148,25.40503845214846,11445746.0,301.3936233520508,0.0
2023-07-15,13.432681560516357,31.16132507324221,24.442071533203148,14905914.0,300.95169830322266,0.0
2023-07-16,0.0,32.71111450195315,22.278421020507835,21361974.0,300.64476776123047,0.0
2023-07-17,0.0013887881209484476,33.5441833496094,22.094445800781273,21870662.0,300.9693145751953,0.0
2023-07-18,0.0012841465490964765,34.85659179687502,25.364282226562523,19181676.0,303.26043701171875,0.0
2023-07-19,0.0017253826172236586,34.07314453125002,27.354943847656273,17927006.0,303.8640441894531,0.0
2023-07-20,0.0011214262940484332,34.605020141601585,27.38233337402346,19335226.0,304.1436767578125,0.0
